127.0.0.1 - - [31/Jul/2015:00:24:58 -0700] "GET /com.assignment2.server/_js/controllers/ProductController.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:24:58 -0700] "GET /com.assignment2.server/_js/controllers/RegisterController.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:24:58 -0700] "GET /com.assignment2.server/_js/controllers/DeviceManagementController.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:24:58 -0700] "GET /com.assignment2.server/_js/controllers/ReadTemperatureController.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:24:58 -0700] "GET /com.assignment2.server/_js/controllers/EnergyConsumptionController.js HTTP/1.1" 200 1515
127.0.0.1 - - [31/Jul/2015:00:24:58 -0700] "GET /com.assignment2.server/assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:24:58 -0700] "GET /com.assignment2.server/assets/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:24:59 -0700] "GET /com.assignment2.server/_views/energyConsumption.html HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:24:59 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Temperature-Thermostat HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:25:00 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Temperature-Thermostat HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:25:35 -0700] "GET /com.assignment2.server/_views/register.html HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:25:48 -0700] "POST /com.assignment2.server/rest/jsonservices/registerDevice HTTP/1.1" 200 45
127.0.0.1 - - [31/Jul/2015:00:25:48 -0700] "GET /com.assignment2.server/_views/successPage.html HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:26:14 -0700] "POST /com.assignment2.server/rest/jsonservices/registerDevice HTTP/1.1" 200 45
127.0.0.1 - - [31/Jul/2015:00:38:21 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Temperature-Thermostat HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:38:22 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Temperature-Thermostat HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:39:18 -0700] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [31/Jul/2015:00:39:30 -0700] "GET /com.assignment2.server/Devices.html HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:39:30 -0700] "GET /com.assignment2.server/assets/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:39:30 -0700] "GET /com.assignment2.server/_js/controllers/DeviceManagementController.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:39:30 -0700] "GET /com.assignment2.server/_js/controllers/ProductController.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:39:30 -0700] "GET /com.assignment2.server/_js/controllers/SuccessController.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:39:30 -0700] "GET /com.assignment2.server/_js/controllers/RegisterController.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:39:30 -0700] "GET /com.assignment2.server/_js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:39:30 -0700] "GET /com.assignment2.server/_js/controllers/EnergyConsumptionController.js HTTP/1.1" 200 3775
127.0.0.1 - - [31/Jul/2015:00:39:30 -0700] "GET /com.assignment2.server/_js/controllers/ReadTemperatureController.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:39:30 -0700] "GET /com.assignment2.server/assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:39:31 -0700] "GET /com.assignment2.server/assets/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:39:31 -0700] "GET /com.assignment2.server/_views/energyConsumption.html HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:39:33 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Temperature-Thermostat HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:39:33 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Pressure-AC HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:39:33 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Pressure-Thermostat HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:39:33 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Voltage-AC HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:39:33 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Voltage-Thermostat HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:39:33 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Temperature-AC HTTP/1.1" 200 11
127.0.0.1 - - [31/Jul/2015:00:39:33 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Temperature-Refrigerator HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:39:33 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Pressure-Thermostat HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:39:33 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Pressure-AC HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:39:33 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Temperature-Thermostat HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:39:33 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Pressure-Refrigerator HTTP/1.1" 200 12
